,Resume_ID,Name,Skills,Experience (Years),Education,Certifications,Job Role,Recruiter Decision,Salary Expectation ($),Projects Count,AI Score (0-100),Skills_List,Hire_Flag,Has_Certification,AI_Norm,Exp_Norm,Proj_Norm,Resume_Strength_Score
0,1,Ashley Ali,"tensorflow, nlp, pytorch",10,B.Sc,None,AI Researcher,Hire,104895,8,100,"['tensorflow', 'nlp', 'pytorch']",1,0,1.0,1.0,0.8,0.8
1,2,Wesley Roman,"deep learning, machine learning, python, sql",10,MBA,Google ML,Data Scientist,Hire,113002,1,100,"['deep learning', 'machine learning', 'python', 'sql']",1,1,1.0,1.0,0.1,0.775
2,3,Corey Sanchez,"ethical hacking, cybersecurity, linux",1,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,71766,7,70,"['ethical hacking', 'cybersecurity', 'linux']",1,1,0.6470588235294117,0.1,0.7000000000000001,0.5764705882352941
3,4,Elizabeth Carney,"python, pytorch, tensorflow",7,B.Tech,AWS Certified,AI Researcher,Hire,46848,0,95,"['python', 'pytorch', 'tensorflow']",1,1,0.9411764705882353,0.7000000000000001,0.0,0.6544117647058824
4,5,Julie Hill,"sql, react, java",4,PhD,None,Software Engineer,Hire,87441,9,100,"['sql', 'react', 'java']",1,0,1.0,0.4,0.9,0.6749999999999999
5,6,Samantha Santos,"cybersecurity, networking, linux, ethical hacking",10,B.Tech,Google ML,Cybersecurity Analyst,Hire,47957,5,100,"['cybersecurity', 'networking', 'linux', 'ethical hacking']",1,1,1.0,1.0,0.5,0.875
6,7,Tony Smith,"networking, cybersecurity, ethical hacking",4,M.Tech,AWS Certified,Cybersecurity Analyst,Hire,66208,9,100,"['networking', 'cybersecurity', 'ethical hacking']",1,1,1.0,0.4,0.9,0.825
7,8,Anthony Harrison,"tensorflow, pytorch, nlp",3,M.Tech,AWS Certified,AI Researcher,Hire,103006,7,90,"['tensorflow', 'pytorch', 'nlp']",1,1,0.8823529411764706,0.30000000000000004,0.7000000000000001,0.7088235294117647
8,9,Nancy Jenkins,"networking, ethical hacking",7,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,92270,3,100,"['networking', 'ethical hacking']",1,1,1.0,0.7000000000000001,0.30000000000000004,0.7500000000000001
9,10,Courtney Gibson,"python, tensorflow, pytorch, nlp",0,M.Tech,AWS Certified,AI Researcher,Reject,60579,1,35,"['python', 'tensorflow', 'pytorch', 'nlp']",0,1,0.23529411764705882,0.0,0.1,0.25735294117647056
10,11,Laura French,"sql, java, c++",1,PhD,Deep Learning Specialization,Software Engineer,Hire,88945,7,70,"['sql', 'java', 'c++']",1,1,0.6470588235294117,0.1,0.7000000000000001,0.5764705882352941
11,12,Ralph Barrera,"cybersecurity, ethical hacking, networking",0,MBA,Google ML,Cybersecurity Analyst,Reject,62708,5,50,"['cybersecurity', 'ethical hacking', 'networking']",0,1,0.411764705882353,0.0,0.5,0.4191176470588236
12,13,David Diaz,"cybersecurity, networking",0,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,42077,9,65,"['cybersecurity', 'networking']",1,1,0.588235294117647,0.0,0.9,0.5808823529411764
13,14,Caitlin Myers,"sql, c++, java",4,B.Sc,Deep Learning Specialization,Software Engineer,Hire,50410,10,100,"['sql', 'c++', 'java']",1,1,1.0,0.4,1.0,0.85
14,15,Tammy Pineda,"pytorch, nlp",0,M.Tech,Deep Learning Specialization,AI Researcher,Reject,96555,5,45,"['pytorch', 'nlp']",0,1,0.35294117647058826,0.0,0.5,0.3985294117647059
15,16,Courtney Cook,"cybersecurity, networking",1,PhD,Google ML,Cybersecurity Analyst,Reject,51388,6,60,"['cybersecurity', 'networking']",0,1,0.5294117647058822,0.1,0.6000000000000001,0.5102941176470588
16,17,Megan Brown,"sql, python",10,PhD,None,Data Scientist,Hire,115364,2,100,"['sql', 'python']",1,0,1.0,1.0,0.2,0.65
17,18,Frances Davis MD,"linux, networking, cybersecurity, ethical hacking",3,B.Tech,None,Cybersecurity Analyst,Hire,66379,6,80,"['linux', 'networking', 'cybersecurity', 'ethical hacking']",1,0,0.7647058823529411,0.30000000000000004,0.6000000000000001,0.4926470588235294
18,19,Jonathon Pineda,"sql, python, deep learning",3,MBA,None,Data Scientist,Hire,112439,10,95,"['sql', 'python', 'deep learning']",1,0,0.9411764705882353,0.30000000000000004,1.0,0.6544117647058824
19,20,Jennifer Collins,"machine learning, sql, python",10,B.Tech,Deep Learning Specialization,Data Scientist,Hire,53167,9,100,"['machine learning', 'sql', 'python']",1,1,1.0,1.0,0.9,0.975
20,21,Nichole Welch,"sql, java, c++, react",5,B.Sc,None,Software Engineer,Hire,57546,4,90,"['sql', 'java', 'c++', 'react']",1,0,0.8823529411764706,0.5,0.4,0.5338235294117647
21,22,Amber Davis,"python, tensorflow, pytorch, nlp",6,B.Sc,Google ML,AI Researcher,Hire,106352,10,100,"['python', 'tensorflow', 'pytorch', 'nlp']",1,1,1.0,0.6000000000000001,1.0,0.9
22,23,William Clark,"machine learning, deep learning, sql",4,MBA,AWS Certified,Data Scientist,Hire,107045,8,100,"['machine learning', 'deep learning', 'sql']",1,1,1.0,0.4,0.8,0.7999999999999999
23,24,Taylor Williams,"tensorflow, pytorch, nlp, python",8,MBA,Deep Learning Specialization,AI Researcher,Hire,94384,0,100,"['tensorflow', 'pytorch', 'nlp', 'python']",1,1,1.0,0.8,0.0,0.7000000000000001
24,25,Lori Johnson,"pytorch, tensorflow, nlp, python",0,B.Tech,Deep Learning Specialization,AI Researcher,Hire,91064,10,80,"['pytorch', 'tensorflow', 'nlp', 'python']",1,1,0.7647058823529411,0.0,1.0,0.6676470588235294
25,26,Roy Huang,"python, nlp",7,B.Tech,Deep Learning Specialization,AI Researcher,Hire,68447,10,100,"['python', 'nlp']",1,1,1.0,0.7000000000000001,1.0,0.925
